nemonico;variable;orden;decimales;caracteres
29321h;Temperatura del aire Max;1;1;3
293161h;Temperatura del aire Min;2;1;3
29311h;Temperatura del aire Avg;3;1;3
91161h;Humedad Relativa Max;4;0;3
9111h;Humedad Relativa Min;5;0;3
9121h;Humedad Relativa Avg;6;0;3
18711h;Presión Atmosférica Max;7;1;3
18721h;Presión Atmosférica Min;8;1;3
18741h;Presión Atmosférica Avg;9;1;3
171481h;Precipitación  Sum;10;1;3
212021h;Radiación solar Global Max;11;1;3
212041h;Radiación solar Global Min;12;1;3
212011h;Radiación solar Global Avg;13;1;3
212081h;Radiación solar Global Sum;14;1;3
371111h;Velocidad Viento SpdMax;15;1;3
371121h;Velocidad Viento SpdMin;16;1;3
371141h;Velocidad Viento SpdAvg;17;1;3
271081h;Recorrido Viento WRun;18;0;3
4211h;Dirección Viento DirMax;19;0;3
4221h;Dirección Viento DirAvg;20;0;3
7611h;Hora de la Ráfaga GustH;21;0;3
131311h;Minuto de la Ráfaga GustM;22;0;3
32311h;Temperatura del suelo Max;23;1;3
32321h;Temperatura del suelo Min;24;1;3
32341h;Temperatura del suelo Avg;25;1;3
171485m;Última Precipitación  Sum;26;1;3
3919161h;Batería DC;27;2;3
293321h;Temperatura del aire Dev;28;1;3
91321h;Humedad Relativa Dev;29;1;3
187321h;Presión Atmosférica Dev;30;1;3
2120321h;Radiación solar Global Dev;31;1;3
2220321h;Temperatura del suelo Dev;32;1;3
131111h;Contenido Volumétrico de agua Max;33;1;3
131121h;Contenido Volumétrico de agua Min;34;1;3
131141h;Contenido Volumétrico de agua Avg;35;1;3
1311321h;Contenido Volumétrico de agua Dev;36;1;3
3711321h;Velocidad Viento Dev;37;1;3
4221h;Dirección Viento Min;38;0;3
42321h;Dirección Viento Dev;39;1;3
