nemonico;variable;orden;decimales;caracteres;nemonico2;
29311h;Temperatura del aire Max;1;1;3;029030101h;1
29321h;Temperatura del aire Min;2;1;3;029030201h;1
29341h;Temperatura del aire Avg;3;1;3;029030401h;1
9111h;Humedad Relativa Max;4;0;3;009010101h;1
9121h;Humedad Relativa Min;5;0;3;009010201h;1
9141h;Humedad Relativa Avg;6;0;3;009010401h;1
18711h;Presión Atmosférica Max;7;1;3;018070101h;1
18721h;Presión Atmosférica Min;8;1;3;018070201h;1
18741h;Presión Atmosférica Avg;9;1;3;018070401h;1
171481h;Precipitación  Sum;10;2;3;017140801h;1
;Calidad del dato;11;0;3;;1
212011h;Radiación solar Global Max;12;0;3;021200101h;1
212021h;Radiación solar Global Min;13;0;3;021200201h;1
212041h;Radiación solar Global Avg;14;0;3;021200401h;1
212081h;Radiación solar Global Sum;15;0;3;021200801h;1
;Radiación reflejada Max;16;0;3;;1
;Radiación reflejada Min;17;0;3;;1
;Radiación reflejada Avg;18;0;3;;1
;Temperatura de suelo 5cm Máxima;19;1;3;;1
;Temperatura de suelo 5cm Mínima;20;1;3;;1
;Temperatura de suelo 5cm Promedio;21;1;3;;1
;Temperatura de suelo 0cm Máxima;22;1;3;;1
;Temperatura de suelo 0cm Mínima;23;1;3;;1
;Temperatura de suelo 0cm Promedio;24;1;3;;1
;Temperatura de suelo -5cm Máxima;25;1;3;;1
;Temperatura de suelo -5cm Mínima;26;1;3;;1
;Temperatura de suelo -5cm Promedio;27;1;3;;1
;Temperatura de suelo -10cm Máxima;28;1;3;;1
;Temperatura de suelo -10cm Mínima;29;1;3;;1
;Temperatura de suelo -10cm Promedio;30;1;3;;1
;Temperatura de suelo -20cm Máxima;31;1;3;;1
;Temperatura de suelo -20cm Mínima;32;1;3;;1
;Temperatura de suelo -20cm Promedio;33;1;3;;1
;Temperatura de suelo -50cm Máxima;34;1;3;;1
;Temperatura de suelo -50cm Mínima;35;1;3;;1
;Temperatura de suelo -50cm Promedio;36;1;3;;1
;Temperatura de suelo -100cm Máxima;37;1;3;;1
;Temperatura de suelo -100cm Mínima;38;1;3;;1
;Temperatura de suelo -100cm Promedio;39;1;3;;1
4241h;Dirección Viento DirAvg;40;0;3;004020401h;
4211h;Dirección Viento DirMax;41;0;3;004020101h;
4221h;Dirección Viento DirMin;42;0;3;004020201h;
371141h;Velocidad Viento SpdAvg;43;1;3;037110401h;
371111h;Velocidad Viento SpdMax;44;1;3;037110101h;
371121h;Velocidad Viento SpdMin;45;1;3;037110201h;
3919161h;Batería DC;46;2;3;039191601h;
